kem,sig,ops_per_sec
kyber512,falcon512,2845.33
kyber512,falcon1024,2703.48
kyber512,p256_falcon512,2723.11
kyber512,p512_falcon1024,2718.7
kyber512,dilithium2,2735.57
kyber512,dilithium3,2592.95
kyber512,p256_dilithium2,2525.9
kyber512,p384_dilithium3,2526.45
kyber512,ED25519,2595.81
kyber768,falcon512,2668.39
kyber768,falcon1024,2553.42
kyber768,p256_falcon512,2600.0
kyber768,p512_falcon1024,2521.62
kyber768,dilithium2,2593.81
kyber768,dilithium3,2618.37
kyber768,p256_dilithium2,2458.33
kyber768,p384_dilithium3,2760.33
kyber768,ED25519,2504.5
